N,P,K,temperature,humidity,ph,rainfall,label
89.6,48.5,45.0,25.47,85.96,6.6,268.0,rice
34.6,29.1,44.2,23.44,92.48,6.97,103.44,pomegranate
32.3,30.3,33.2,33.82,50.16,6.02,88.0,mango
40.8,69.8,21.8,30.6,69.13,7.06,74.46,blackgram
64.4,50.9,23.6,25.84,58.34,5.82,61.51,maize
34.1,126.9,198.5,33.02,79.91,6.93,62.34,grapes
17.3,138.2,196.0,23.75,92.61,6.23,115.55,apple
105.9,84.6,49.9,27.7,77.72,6.31,96.04,banana
31.8,11.8,34.5,28.53,98.86,6.32,149.21,coconut
23.5,76.2,21.8,19.61,69.87,7.2,41.57,lentil
11.1,19.0,6.8,26.4,91.19,6.38,100.61,orange
8.7,31.3,5.5,26.14,94.54,7.2,107.16,orange
28.8,48.8,15.9,29.79,80.13,6.91,52.82,mungbean
92.9,37.4,53.0,24.07,82.85,7.33,229.39,rice
22.7,117.8,198.7,23.36,88.74,6.47,126.46,apple
36.0,9.6,40.4,22.47,91.32,5.3,113.89,pomegranate
54.8,64.3,82.2,21.53,15.45,6.36,86.96,chickpea
102.4,12.5,47.8,27.58,98.04,6.21,21.24,muskmelon
114.7,8.2,54.8,29.59,91.76,6.38,22.83,muskmelon
35.6,144.2,198.8,20.57,95.0,6.09,126.43,apple
53.9,65.8,19.5,33.65,61.97,6.33,67.08,blackgram
41.1,125.6,204.6,36.75,83.08,6.14,72.39,grapes
32.7,32.0,29.2,26.74,48.59,5.43,94.97,mango
27.0,21.9,8.3,24.58,91.09,6.29,101.73,orange
117.2,35.6,34.6,21.62,65.77,5.82,137.07,coffee
10.7,62.4,19.5,34.16,60.68,7.22,131.78,pigeonpeas
74.4,53.9,21.6,24.28,67.48,6.53,96.92,maize
63.5,65.2,56.2,28.22,93.23,7.0,186.98,papaya
40.3,71.1,18.8,20.74,63.63,7.34,46.72,lentil
33.7,135.4,199.6,23.93,94.19,6.0,125.07,apple
14.3,33.6,29.3,30.75,46.31,6.09,100.23,mango
21.3,120.1,196.3,37.37,81.67,5.98,70.25,grapes
74.8,58.4,37.4,23.56,73.9,6.83,164.26,jute
84.9,19.3,56.8,24.45,84.32,6.49,49.78,watermelon
129.0,59.4,25.6,26.58,79.91,6.98,67.25,cotton
26.7,69.9,20.4,28.42,60.38,6.74,45.56,lentil
104.7,20.6,47.8,28.58,94.88,6.5,18.43,muskmelon
97.2,27.6,25.0,24.71,54.93,6.06,176.19,coffee
27.6,138.2,201.9,37.54,81.58,5.72,79.13,grapes
34.2,118.8,201.3,41.06,77.41,6.31,69.0,grapes
118.7,29.9,47.9,24.57,84.47,6.99,54.92,watermelon
29.9,58.0,10.9,23.38,65.44,7.05,48.6,lentil
94.4,8.3,47.4,26.69,87.07,6.09,65.54,watermelon
24.2,51.7,76.4,19.95,22.34,8.13,66.45,chickpea
35.8,16.9,24.0,28.48,55.51,6.7,79.47,mango
23.1,123.7,205.5,22.75,89.3,6.37,105.0,apple
52.5,59.9,36.5,27.6,81.04,7.68,278.07,rice
89.6,11.1,46.8,29.25,91.82,6.46,17.83,muskmelon
20.6,11.9,38.9,21.43,94.74,6.29,102.85,pomegranate
22.6,42.1,20.6,30.43,61.22,7.92,35.36,mothbeans
12.8,135.4,204.8,34.24,80.37,5.59,71.82,grapes
31.2,125.0,201.4,15.86,82.86,6.14,83.97,grapes
27.2,69.3,14.8,23.94,16.09,5.94,110.84,kidneybeans
36.7,61.4,24.6,32.25,39.16,5.52,153.79,pigeonpeas
118.2,77.0,50.6,25.57,82.19,6.3,115.65,banana
21.0,138.6,203.7,32.39,81.3,5.82,69.93,grapes
37.1,119.4,194.2,22.25,93.21,6.11,133.21,apple
29.2,79.2,81.8,16.72,11.34,8.33,67.45,chickpea
98.6,19.4,28.0,25.8,70.26,7.43,129.85,coffee
67.4,49.8,38.6,25.04,70.51,5.7,180.79,jute
94.0,24.6,25.3,24.96,54.11,5.99,126.22,coffee
45.6,68.2,14.5,17.73,22.43,5.51,118.68,kidneybeans
63.0,42.5,43.7,26.76,76.43,7.05,187.43,jute
28.5,16.6,32.8,26.43,49.07,6.46,97.62,mango
47.8,64.5,78.7,19.04,13.43,7.73,92.96,chickpea
14.6,32.3,35.1,35.23,52.63,5.55,90.68,mango
41.4,18.7,30.7,27.94,99.16,6.57,171.58,coconut
78.2,44.1,15.4,27.37,54.46,6.53,73.28,maize
27.4,51.9,19.5,26.46,90.94,6.28,54.18,mungbean
42.8,75.6,79.0,20.64,14.24,6.4,73.8,chickpea
32.0,20.8,16.4,26.1,88.22,6.19,114.83,orange
58.0,69.3,25.9,26.62,68.73,7.08,64.05,blackgram
20.3,17.0,34.3,24.25,100,5.27,189.63,coconut
22.9,10.3,29.5,29.5,93.65,6.26,146.07,coconut
105.8,90.3,47.7,26.76,77.46,5.4,117.43,banana
15.2,66.9,22.9,17.49,23.24,5.49,110.69,kidneybeans
83.8,50.1,43.6,25.85,72.68,6.7,185.31,jute
30.9,50.7,20.5,28.21,79.35,6.65,51.79,mungbean
17.5,79.7,20.0,30.25,58.72,7.97,52.81,lentil
107.8,13.5,51.8,24.55,89.55,6.58,34.21,watermelon
35.8,18.7,28.7,32.45,56.28,5.48,97.97,mango
27.7,39.1,16.4,28.56,85.32,6.41,51.64,mungbean
9.6,59.3,17.3,28.6,86.58,6.58,39.23,mungbean
39.2,60.8,17.5,28.79,62.67,5.64,160.47,pigeonpeas
23.9,17.3,30.5,26.67,98.93,6.11,196.81,coconut
42.5,17.3,41.1,24.38,89.87,4.98,108.0,pomegranate
5.3,40.7,23.5,30.47,67.6,7.59,45.76,mothbeans
29.9,126.8,196.3,27.5,80.29,6.12,67.48,grapes
16.5,41.9,14.7,31.23,47.31,7.02,29.91,mothbeans
35.7,36.9,13.4,25.16,55.2,7.02,81.96,mothbeans
11.8,22.1,9.9,16.6,91.65,7.12,105.0,orange
16.0,55.1,22.4,27.01,45.98,6.58,38.87,mothbeans
34.5,16.9,44.7,19.58,83.97,6.1,105.27,pomegranate
12.3,119.5,198.5,20.84,80.74,5.63,68.87,grapes
52.5,65.4,50.3,34.07,95.19,6.95,150.38,papaya
99.9,84.8,42.4,31.19,71.89,5.73,95.16,banana
67.7,46.5,19.2,19.91,60.07,6.46,53.94,maize
55.3,55.5,81.8,21.86,24.94,8.02,92.94,chickpea
111.2,31.4,49.0,25.85,88.65,6.4,49.9,watermelon
16.9,19.1,30.5,33.85,58.15,7.01,93.2,mango
